Pattern,X1,X2,X3,X4,X5,X6
115131,Earth,Earth,Null,Earth,Mars,Earth
115134,Earth,Earth,Null,Earth,Mars,Jupiter
115133,Earth,Earth,Null,Earth,Mars,Mars
115135,Earth,Earth,Null,Earth,Mars,Null
115132,Earth,Earth,Null,Earth,Mars,Venus
115151,Earth,Earth,Null,Earth,Null,Earth
115154,Earth,Earth,Null,Earth,Null,Jupiter
115153,Earth,Earth,Null,Earth,Null,Mars
115155,Earth,Earth,Null,Earth,Null,Null
115152,Earth,Earth,Null,Earth,Null,Venus
115121,Earth,Earth,Null,Earth,Venus,Earth
115124,Earth,Earth,Null,Earth,Venus,Jupiter
115123,Earth,Earth,Null,Earth,Venus,Mars
115125,Earth,Earth,Null,Earth,Venus,Null
115122,Earth,Earth,Null,Earth,Venus,Venus
115411,Earth,Earth,Null,Jupiter,Earth,Earth
115414,Earth,Earth,Null,Jupiter,Earth,Jupiter
115413,Earth,Earth,Null,Jupiter,Earth,Mars
115415,Earth,Earth,Null,Jupiter,Earth,Null
115412,Earth,Earth,Null,Jupiter,Earth,Venus
115441,Earth,Earth,Null,Jupiter,Jupiter,Earth
115444,Earth,Earth,Null,Jupiter,Jupiter,Jupiter
115443,Earth,Earth,Null,Jupiter,Jupiter,Mars
115445,Earth,Earth,Null,Jupiter,Jupiter,Null
115442,Earth,Earth,Null,Jupiter,Jupiter,Venus
115431,Earth,Earth,Null,Jupiter,Mars,Earth
115434,Earth,Earth,Null,Jupiter,Mars,Jupiter
115433,Earth,Earth,Null,Jupiter,Mars,Mars
115435,Earth,Earth,Null,Jupiter,Mars,Null
115432,Earth,Earth,Null,Jupiter,Mars,Venus
115451,Earth,Earth,Null,Jupiter,Null,Earth
115454,Earth,Earth,Null,Jupiter,Null,Jupiter
115453,Earth,Earth,Null,Jupiter,Null,Mars
115455,Earth,Earth,Null,Jupiter,Null,Null
115452,Earth,Earth,Null,Jupiter,Null,Venus
115421,Earth,Earth,Null,Jupiter,Venus,Earth
115424,Earth,Earth,Null,Jupiter,Venus,Jupiter
115423,Earth,Earth,Null,Jupiter,Venus,Mars
115425,Earth,Earth,Null,Jupiter,Venus,Null
115422,Earth,Earth,Null,Jupiter,Venus,Venus
115311,Earth,Earth,Null,Mars,Earth,Earth
115314,Earth,Earth,Null,Mars,Earth,Jupiter
115313,Earth,Earth,Null,Mars,Earth,Mars
115315,Earth,Earth,Null,Mars,Earth,Null
115312,Earth,Earth,Null,Mars,Earth,Venus
115341,Earth,Earth,Null,Mars,Jupiter,Earth
115344,Earth,Earth,Null,Mars,Jupiter,Jupiter
115343,Earth,Earth,Null,Mars,Jupiter,Mars
115345,Earth,Earth,Null,Mars,Jupiter,Null
115342,Earth,Earth,Null,Mars,Jupiter,Venus
115331,Earth,Earth,Null,Mars,Mars,Earth
115334,Earth,Earth,Null,Mars,Mars,Jupiter
115333,Earth,Earth,Null,Mars,Mars,Mars
115335,Earth,Earth,Null,Mars,Mars,Null
115332,Earth,Earth,Null,Mars,Mars,Venus
115351,Earth,Earth,Null,Mars,Null,Earth
115354,Earth,Earth,Null,Mars,Null,Jupiter
115353,Earth,Earth,Null,Mars,Null,Mars
115355,Earth,Earth,Null,Mars,Null,Null
115352,Earth,Earth,Null,Mars,Null,Venus
115321,Earth,Earth,Null,Mars,Venus,Earth
115324,Earth,Earth,Null,Mars,Venus,Jupiter
115323,Earth,Earth,Null,Mars,Venus,Mars
115325,Earth,Earth,Null,Mars,Venus,Null
115322,Earth,Earth,Null,Mars,Venus,Venus
115511,Earth,Earth,Null,Null,Earth,Earth
115514,Earth,Earth,Null,Null,Earth,Jupiter
115513,Earth,Earth,Null,Null,Earth,Mars
115515,Earth,Earth,Null,Null,Earth,Null
115512,Earth,Earth,Null,Null,Earth,Venus
115541,Earth,Earth,Null,Null,Jupiter,Earth
115544,Earth,Earth,Null,Null,Jupiter,Jupiter
