Pattern,X1,X2,X3,X4,X5,X6
332515,Mars,Mars,Venus,Null,Earth,Null
332512,Mars,Mars,Venus,Null,Earth,Venus
332541,Mars,Mars,Venus,Null,Jupiter,Earth
332544,Mars,Mars,Venus,Null,Jupiter,Jupiter
332543,Mars,Mars,Venus,Null,Jupiter,Mars
332545,Mars,Mars,Venus,Null,Jupiter,Null
332542,Mars,Mars,Venus,Null,Jupiter,Venus
332531,Mars,Mars,Venus,Null,Mars,Earth
332534,Mars,Mars,Venus,Null,Mars,Jupiter
332533,Mars,Mars,Venus,Null,Mars,Mars
332535,Mars,Mars,Venus,Null,Mars,Null
332532,Mars,Mars,Venus,Null,Mars,Venus
332551,Mars,Mars,Venus,Null,Null,Earth
332554,Mars,Mars,Venus,Null,Null,Jupiter
332553,Mars,Mars,Venus,Null,Null,Mars
332555,Mars,Mars,Venus,Null,Null,Null
332552,Mars,Mars,Venus,Null,Null,Venus
332521,Mars,Mars,Venus,Null,Venus,Earth
332524,Mars,Mars,Venus,Null,Venus,Jupiter
332523,Mars,Mars,Venus,Null,Venus,Mars
332525,Mars,Mars,Venus,Null,Venus,Null
332522,Mars,Mars,Venus,Null,Venus,Venus
332211,Mars,Mars,Venus,Venus,Earth,Earth
332214,Mars,Mars,Venus,Venus,Earth,Jupiter
332213,Mars,Mars,Venus,Venus,Earth,Mars
332215,Mars,Mars,Venus,Venus,Earth,Null
332212,Mars,Mars,Venus,Venus,Earth,Venus
332241,Mars,Mars,Venus,Venus,Jupiter,Earth
332244,Mars,Mars,Venus,Venus,Jupiter,Jupiter
332243,Mars,Mars,Venus,Venus,Jupiter,Mars
332245,Mars,Mars,Venus,Venus,Jupiter,Null
332242,Mars,Mars,Venus,Venus,Jupiter,Venus
332231,Mars,Mars,Venus,Venus,Mars,Earth
332234,Mars,Mars,Venus,Venus,Mars,Jupiter
332233,Mars,Mars,Venus,Venus,Mars,Mars
332235,Mars,Mars,Venus,Venus,Mars,Null
332232,Mars,Mars,Venus,Venus,Mars,Venus
332251,Mars,Mars,Venus,Venus,Null,Earth
332254,Mars,Mars,Venus,Venus,Null,Jupiter
332253,Mars,Mars,Venus,Venus,Null,Mars
332255,Mars,Mars,Venus,Venus,Null,Null
332252,Mars,Mars,Venus,Venus,Null,Venus
332221,Mars,Mars,Venus,Venus,Venus,Earth
332224,Mars,Mars,Venus,Venus,Venus,Jupiter
332223,Mars,Mars,Venus,Venus,Venus,Mars
332225,Mars,Mars,Venus,Venus,Venus,Null
332222,Mars,Mars,Venus,Venus,Venus,Venus
351111,Mars,Null,Earth,Earth,Earth,Earth
351114,Mars,Null,Earth,Earth,Earth,Jupiter
351113,Mars,Null,Earth,Earth,Earth,Mars
351115,Mars,Null,Earth,Earth,Earth,Null
351112,Mars,Null,Earth,Earth,Earth,Venus
351141,Mars,Null,Earth,Earth,Jupiter,Earth
351144,Mars,Null,Earth,Earth,Jupiter,Jupiter
351143,Mars,Null,Earth,Earth,Jupiter,Mars
351145,Mars,Null,Earth,Earth,Jupiter,Null
351142,Mars,Null,Earth,Earth,Jupiter,Venus
351131,Mars,Null,Earth,Earth,Mars,Earth
351134,Mars,Null,Earth,Earth,Mars,Jupiter
