case_no,global_algo,local_algo,DV,tof,time_taken,champion
82,xNES,NLOPT-COBYLA,29781.22577498084,630.3061310888486,0.277699,"[-9.67164604e+02  9.09190452e-02  4.50067565e-03  2.33767892e-01
  2.26168998e-01  3.27222771e-01]"
83,xNES,NLOPT-SLSQP,75201.45250329681,912.540015860051,0.144995,"[-1.05394403e+03  1.21083701e-01  1.28385548e-01  5.76859896e-02
  4.09990941e-01  4.98949923e-01]"
84,xNES,NLOPT-MMA,54446.8281551202,1663.6726663666263,0.663693,"[-8.35659399e+02  2.63469649e-01  3.21146609e-01  1.69100590e-01
  3.56899131e-01  9.99000000e-01]"
85,NSGA2,COMPASS,41633.18303027115,1263.5180002741522,0.141289,"[-9.29276951e+02  9.78456496e-02  1.29071440e-02  2.35130534e-01
  1.53779982e-01  7.86804092e-01]"
86,NSGA2,NLOPT-BOBYQA,46066.57662174237,1768.074359781871,0.325371,"[-7.31179076e+02  3.26088312e-01  1.00000000e-03  3.43009722e-01
  3.24851032e-01  9.99000000e-01]"
87,NSGA2,NLOPT-PRAXIS,24861.51803279652,1395.2486482487127,0.491052,"[-1.09143902e+03  4.08801802e-01  1.90381888e-01  7.01717729e-02
  3.10490741e-01  9.82647657e-01]"
88,NSGA2,NLOPT-COBYLA,8703.584644511633,1595.1718661801947,0.322724,"[-9.02432648e+02  8.53322669e-02  4.93191100e-02  1.62548822e-01
  3.36159353e-01  9.98017870e-01]"
89,NSGA2,NLOPT-SLSQP,57570.53302662623,1571.8768492991544,0.150873,"[-9.24239947e+02  2.03561965e-01  4.20481092e-02  2.49215516e-01
  3.88851353e-01  9.95562970e-01]"
90,NSGA2,NLOPT-MMA,6726.26896992568,1723.1069947612766,0.868062,"[-7.55731755e+02  5.28203593e-02  2.28122820e-01  1.58792034e-01
  2.96976509e-01  9.80422936e-01]"
91,MOEA/D,COMPASS,60728.10797795466,1658.58369333272,0.142334,"[-8.40743138e+02  5.24772316e-02  4.72833341e-01  1.38696298e-01
  3.74121510e-01  9.99000000e-01]"
92,MOEA/D,NLOPT-BOBYQA,19814.08940484942,1287.439614634104,0.259272,"[-1.05151362e+03  1.67423164e-01  2.99437522e-02  1.69922131e-01
  3.20467937e-01  8.58595908e-01]"
93,MOEA/D,NLOPT-PRAXIS,131375.0203337718,1272.1248708904236,0.279232,"[-7.91194072e+02  3.10610875e-02  9.53029865e-02  4.47274274e-01
  3.13793126e-01  4.74636318e-01]"
94,MOEA/D,NLOPT-COBYLA,12612.188755680669,1347.9702819640204,0.268203,"[-1.07719281e+03  2.65138357e-01  1.83969253e-01  1.96695106e-01
  3.03684883e-01  9.10756314e-01]"
95,MOEA/D,NLOPT-SLSQP,125116.98463656651,1353.2101972643256,0.147232,"[-9.37884147e+02  4.07483961e-01  2.05274536e-01  1.36299805e-01
  2.62846959e-01  7.21277345e-01]"
96,MOEA/D,NLOPT-MMA,19361.97461508541,1476.3433296392154,0.472375,"[-1.02014497e+03  1.66195068e-01  3.04894283e-02  3.66319606e-01
  3.35739870e-01  9.95871885e-01]"
97,MHACO,COMPASS,38382.18786932484,1209.4659631571408,0.148387,"[-8.20985386e+02  1.19973381e-01  2.14401475e-01  1.01543710e-01
  2.85341109e-01  5.76894797e-01]"
98,MHACO,NLOPT-BOBYQA,9193.733618653923,1673.05543858688,0.553152,"[-8.10128807e+02  1.66554101e-01  1.07839782e-01  2.27570136e-01
  2.87823962e-01  9.83555917e-01]"
99,MHACO,NLOPT-PRAXIS,50526.67162814362,1743.3810151772318,0.294659,"[-7.55831984e+02  2.59204369e-01  2.06333943e-01  1.51517580e-01
  3.69646828e-01  9.98998912e-01]"
100,MHACO,NLOPT-COBYLA,10780.171882419521,1522.000459666057,0.309777,"[-9.76086801e+02  1.64492562e-01  2.26996298e-01  1.76503330e-01
  3.31180818e-01  9.97849134e-01]"
101,MHACO,NLOPT-SLSQP,64490.77371290876,1456.591149159152,0.152097,"[-7.72318596e+02  2.41399349e-01  2.75560011e-02  3.24607860e-02
  3.30047579e-01  7.73231072e-01]"
102,MHACO,NLOPT-MMA,19022.322482869884,1434.6531991596396,0.541926,"[-1.06453995e+03  2.59879224e-01  1.24478629e-01  2.67993926e-01
  3.25725595e-01  9.98990903e-01]"
103,NSPSO,COMPASS,64735.510102479224,1353.4472941426106,0.141661,"[-9.51217028e+02  7.07804626e-02  2.35663666e-01  2.93673123e-01
  2.40809878e-01  7.94844839e-01]"
104,NSPSO,NLOPT-BOBYQA,57335.262862569696,1264.9135455668252,0.250727,"[-1.09498287e+03  4.60852337e-02  1.50069658e-02  3.13342810e-02
  4.34066347e-01  8.91200461e-01]"
105,NSPSO,NLOPT-PRAXIS,65254.47991382494,1011.7923991278437,0.340876,"[-7.80338627e+02  1.58194380e-01  9.48930542e-02  7.02962386e-02
  2.81112843e-01  4.43973056e-01]"
106,NSPSO,NLOPT-COBYLA,21129.630693793395,1758.026644094134,0.352395,"[-7.33931626e+02  1.40836384e-01  1.61282735e-01  1.13195044e-01
  3.22534404e-01  9.92569763e-01]"
107,NSPSO,NLOPT-SLSQP,79147.97967986896,1267.4288274487785,0.145367,"[-8.66966629e+02  8.85571568e-02  1.42896472e-02  1.65903801e-01
  5.14300442e-01  5.98200892e-01]"
108,NSPSO,NLOPT-MMA,16766.944192937222,1147.168470192083,0.566967,"[-8.22876148e+02  7.26063915e-02  2.56795719e-02  1.56031977e-01
  2.72357568e-01  6.17977113e-01]"
